HI_wl,prob,index,value,lon,lat
0.85,0.9,HWI,8.33876803333333,121.75,53.25
0.85,0.95,HWI,6.53777111119048,121.75,53.25
0.85,0.99,HWI,3.73956742764011,121.75,53.25
0.85,0.999,HWI,2.29823920426755,121.75,53.25
0.85,0.9999,HWI,2.13310405811793,121.75,53.25
1.5,0.9,HWI,9.29159537719298,121.75,53.25
1.5,0.95,HWI,7.54069438721804,121.75,53.25
1.5,0.99,HWI,4.76918926163158,121.75,53.25
1.5,0.999,HWI,2.96686162589199,121.75,53.25
1.5,0.9999,HWI,2.7581081456041,121.75,53.25
2,0.9,HWI,9.73822446641604,121.75,53.25
2,0.95,HWI,8.0058239,121.75,53.25
2,0.99,HWI,5.29680607394737,121.75,53.25
2,0.999,HWI,3.30904167344003,121.75,53.25
2,0.9999,HWI,3.07675534888707,121.75,53.25
3.5,0.9,HWI,11.450762822807,121.75,53.25
3.5,0.95,HWI,9.7584011679198,121.75,53.25
3.5,0.99,HWI,7.10439347443609,121.75,53.25
3.5,0.999,HWI,4.90875437633459,121.75,53.25
3.5,0.9999,HWI,4.60441804849248,121.75,53.25
0.85,0.9,HWS,136.89379145614,121.75,53.25
0.85,0.95,HWS,66.8735401911529,121.75,53.25
0.85,0.99,HWS,16.1831191252063,121.75,53.25
0.85,0.999,HWS,5.67920339521798,121.75,53.25
0.85,0.9999,HWS,4.88723615951674,121.75,53.25
1.5,0.9,HWS,189.940520102757,121.75,53.25
1.5,0.95,HWS,99.806395726817,121.75,53.25
1.5,0.99,HWS,28.4267243624624,121.75,53.25
1.5,0.999,HWS,9.43162167645036,121.75,53.25
1.5,0.9999,HWS,8.03725422459101,121.75,53.25
2,0.9,HWS,236.45265183208,121.75,53.25
2,0.95,HWS,128.454686235589,121.75,53.25
2,0.99,HWS,38.2742914368045,121.75,53.25
2,0.999,HWS,12.4779031752501,121.75,53.25
2,0.9999,HWS,10.5229998426792,121.75,53.25
3.5,0.9,HWS,423.982924671679,121.75,53.25
3.5,0.95,HWS,255.384171157895,121.75,53.25
3.5,0.99,HWS,92.1081216441103,121.75,53.25
3.5,0.999,HWS,33.6397241215288,121.75,53.25
3.5,0.9999,HWS,28.1002728878534,121.75,53.25
0.85,0.9,HWF,18.8220551378446,121.75,53.25
0.85,0.95,HWF,13.8991228070175,121.75,53.25
0.85,0.99,HWF,5.5237127907488,121.75,53.25
0.85,0.999,HWF,2.3923029571229,121.75,53.25
0.85,0.9999,HWF,2.16059161291156,121.75,53.25
1.5,0.9,HWF,17.9097744360902,121.75,53.25
1.5,0.95,HWF,15.6616541353383,121.75,53.25
1.5,0.99,HWF,7.6719298245614,121.75,53.25
1.5,0.999,HWF,3.38960058169159,121.75,53.25
1.5,0.9999,HWF,2.98896129941429,121.75,53.25
2,0.9,HWF,16.5588972431078,121.75,53.25
2,0.95,HWF,15.9874686716792,121.75,53.25
2,0.99,HWF,9.07092731829574,121.75,53.25
2,0.999,HWF,4.14335716742838,121.75,53.25
2,0.9999,HWF,3.72665564840895,121.75,53.25
3.5,0.9,HWF,10.984962406015,121.75,53.25
3.5,0.95,HWF,13.140350877193,121.75,53.25
3.5,0.99,HWF,11.7644110275689,121.75,53.25
3.5,0.999,HWF,7.58972431077694,121.75,53.25
3.5,0.9999,HWF,6.83082706766917,121.75,53.25
0.85,0.9,HWD,58.0375939849624,122.75,53.25
0.85,0.95,HWD,33.0254385964912,122.75,53.25
0.85,0.99,HWD,9.77464494569758,122.75,53.25
0.85,0.999,HWD,3.7547959273721,122.75,53.25
0.85,0.9999,HWD,3.34612467787676,122.75,53.25
1.5,0.9,HWD,75.1629072681704,122.75,53.25
1.5,0.95,HWD,45.3333333333333,122.75,53.25
1.5,0.99,HWD,15.5989974937343,122.75,53.25
1.5,0.999,HWD,5.69613421923794,122.75,53.25
1.5,0.9999,HWD,4.92746352465271,122.75,53.25
2,0.9,HWD,89.9448621553885,122.75,53.25
2,0.95,HWD,56.2105263157895,122.75,53.25
2,0.99,HWD,20.643984962406,122.75,53.25
2,0.999,HWD,7.62907022458106,122.75,53.25
2,0.9999,HWD,6.53770946975281,122.75,53.25
3.5,0.9,HWD,134.446115288221,122.75,53.25
3.5,0.95,HWD,94.1954887218045,122.75,53.25
3.5,0.99,HWD,42.3508771929825,122.75,53.25
3.5,0.999,HWD,18.3604010025063,122.75,53.25
3.5,0.9999,HWD,15.6705513784461,122.75,53.25
0.85,0.9,HWI,8.40403290325815,122.75,53.25
0.85,0.95,HWI,6.62477573566416,122.75,53.25
0.85,0.99,HWI,3.79797570679365,122.75,53.25
0.85,0.999,HWI,2.38187773291784,122.75,53.25
0.85,0.9999,HWI,2.19608992138664,122.75,53.25
1.5,0.9,HWI,9.2809864160401,122.75,53.25
1.5,0.95,HWI,7.5854991037594,122.75,53.25
1.5,0.99,HWI,4.79459802696742,122.75,53.25
1.5,0.999,HWI,2.94121582790988,122.75,53.25
1.5,0.9999,HWI,2.74014612428395,122.75,53.25
2,0.9,HWI,9.85130529749373,122.75,53.25
2,0.95,HWI,8.1503994075188,122.75,53.25
2,0.99,HWI,5.39402245882206,122.75,53.25
2,0.999,HWI,3.39428521226019,122.75,53.25
2,0.9999,HWI,3.14351779159334,122.75,53.25
3.5,0.9,HWI,11.5502975095238,122.75,53.25
3.5,0.95,HWI,9.85613562506266,122.75,53.25
3.5,0.99,HWI,7.16346780025063,122.75,53.25
3.5,0.999,HWI,4.99217385602381,122.75,53.25
3.5,0.9999,HWI,4.67837596699248,122.75,53.25
0.85,0.9,HWS,136.94935781203,122.75,53.25
0.85,0.95,HWS,67.360765660777,122.75,53.25
0.85,0.99,HWS,16.3348600688801,122.75,53.25
0.85,0.999,HWS,5.63439509429095,122.75,53.25
0.85,0.9999,HWS,4.85175322535236,122.75,53.25
1.5,0.9,HWS,189.459484037594,122.75,53.25
1.5,0.95,HWS,99.8089727486215,122.75,53.25
1.5,0.99,HWS,27.9480502119799,122.75,53.25
1.5,0.999,HWS,9.22538877572445,122.75,53.25
1.5,0.9999,HWS,7.86967387518518,122.75,53.25
2,0.9,HWS,237.713465253133,122.75,53.25
2,0.95,HWS,129.545385596491,122.75,53.25
2,0.99,HWS,38.2223689683208,122.75,53.25
2,0.999,HWS,12.6139998257619,122.75,53.25
2,0.9999,HWS,10.6106001043171,122.75,53.25
3.5,0.9,HWS,426.990062117795,122.75,53.25
3.5,0.95,HWS,257.515785734336,122.75,53.25
3.5,0.99,HWS,92.5909966122807,122.75,53.25
3.5,0.999,HWS,34.0141990100025,122.75,53.25
3.5,0.9999,HWS,28.6506952082331,122.75,53.25
0.85,0.9,HWF,18.984962406015,122.75,53.25
0.85,0.95,HWF,14.2082706766917,122.75,53.25
0.85,0.99,HWF,5.6906015037594,122.75,53.25
0.85,0.999,HWF,2.46394583409819,122.75,53.25
0.85,0.9999,HWF,2.26384626838228,122.75,53.25
1.5,0.9,HWF,18.2581453634085,122.75,53.25
1.5,0.95,HWF,15.8471177944862,122.75,53.25
1.5,0.99,HWF,7.85300751879699,122.75,53.25
1.5,0.999,HWF,3.48070348554095,122.75,53.25
1.5,0.9999,HWF,3.02534086118289,122.75,53.25
2,0.9,HWF,17.0526315789474,122.75,53.25
2,0.95,HWF,16.3082706766917,122.75,53.25
